aX,aY,aZ,gX,gY,gZ
0.0117,0.0862,-1.0028,-26.3672,25.9399,-2.4414
0.0254,0.1040,-1.0046,-35.1563,31.0059,-1.3428
0.0171,0.1462,-1.0024,-43.6401,36.8042,0.1221
0.0474,0.1414,-0.9304,-50.3540,32.8369,2.5024
0.0477,0.1948,-1.2042,-52.7344,12.9395,-2.2583
0.0769,0.2435,-1.3198,-84.2896,44.1895,-6.2866
0.1257,0.2433,-1.3862,-40.9546,41.6870,-5.7983
0.1349,0.1283,-1.4661,2.6245,53.2227,4.7607
0.0507,0.0829,-1.2885,22.2168,67.7490,-13.4277
0.0171,0.1112,-1.1876,30.7007,66.5894,-12.6343
0.0216,0.0677,-1.1591,42.9688,58.4717,-1.6479
0.0510,0.0426,-1.2244,56.7017,57.3120,-1.9531
0.1615,0.0518,-1.2560,83.5571,65.7959,5.9814
0.1567,0.0870,-1.2126,83.3130,70.2515,5.7373
0.1753,0.0957,-1.2091,75.1343,75.1343,4.5776
0.1823,0.1478,-1.2345,63.4155,81.1768,1.3428
0.1781,0.1830,-1.1364,31.9824,92.4683,0.4883
0.1870,0.0865,-1.1013,22.8271,93.8110,-4.9438
0.2117,0.0100,-1.1196,17.0288,95.5811,-13.1226
0.2509,-0.0208,-1.1526,19.4092,104.3091,-20.8740
0.2545,0.0034,-1.1340,27.3438,109.6802,-19.9585
0.2509,0.0752,-1.0992,32.5928,112.9761,-13.5498
0.2709,0.0953,-1.0969,31.9824,114.5630,-3.6621
0.3302,-0.0093,-1.1266,36.3770,124.8779,7.2632
0.3248,0.0330,-1.0669,40.2222,125.0610,8.9722
0.3756,0.0123,-1.0863,38.0249,127.6855,8.2397
0.4242,-0.0272,-1.1311,37.7808,133.0566,3.9673
0.3879,-0.0100,-1.0190,31.1890,140.9302,-17.7002
0.4050,-0.0356,-0.9788,29.9072,135.1318,-12.3291
0.4045,0.0675,-0.9128,30.6396,133.0566,-6.2866
0.4336,0.1320,-0.8173,25.3906,133.1787,5.1880
0.5024,-0.0500,-0.6853,43.4570,120.5444,10.3760
0.5525,-0.0546,-0.7296,44.0063,116.0278,9.7656
0.5903,-0.0754,-0.8124,44.6777,117.0044,7.6904
0.6119,-0.0038,-0.6714,29.6631,120.7886,8.3618
0.6460,-0.0747,-0.6407,31.2500,116.7603,9.3994
0.6642,-0.0947,-0.6847,30.5786,116.4551,9.8877
0.6533,-0.0988,-0.6813,27.2827,118.6523,8.7280
0.6058,-0.1888,-0.5955,12.2070,113.4033,4.2725
0.5930,-0.0946,-0.4976,-12.6953,106.0791,5.6152
0.6443,-0.1333,-0.4523,-41.5039,102.6001,8.3008
0.6952,-0.2457,-0.4373,-42.2363,98.4497,-0.0610
0.7448,-0.1527,-0.3984,-9.7656,85.3882,-16.8457
0.7655,-0.1194,-0.5023,-7.6294,84.6558,-19.0430
0.7688,-0.0804,-0.5455,-8.2397,88.5010,-18.7988
0.7699,-0.0747,-0.5179,-12.8174,88.9282,-17.2119
0.7987,-0.0709,-0.4697,-23.9868,96.1914,-15.7471
0.8062,-0.0957,-0.4187,-23.4985,94.5435,-15.5029
0.8014,-0.1006,-0.3904,-14.4653,92.0410,-17.5171
0.8146,-0.0396,-0.3579,-18.6768,85.3271,-16.9067
0.8319,-0.0349,-0.3884,-17.6392,83.9844,-13.1226
0.8333,-0.0288,-0.3422,-12.5122,84.5947,-8.9111
0.8484,-0.0771,-0.3370,-1.6479,78.7354,-4.4556
0.8783,-0.0380,-0.3970,11.9629,82.7026,-7.1411
0.8619,-0.0345,-0.3733,14.6484,83.1299,-6.5308
0.8408,0.0045,-0.2942,6.8359,82.0313,-6.8970
0.8506,0.0013,-0.2742,-9.8877,76.2329,-4.6997
0.8949,-0.0240,-0.3141,-16.1743,75.6226,-4.4556
0.9065,-0.0215,-0.2268,-8.5449,71.2891,-3.0518
0.9044,-0.0039,-0.2041,-2.0142,67.3828,-5.8594
0.8932,0.0103,-0.2383,5.1880,63.4766,-0.8545
0.8768,-0.0015,-0.2150,2.7466,62.8662,1.7090
0.8899,-0.0193,-0.2301,-1.2207,63.2935,0.4883
0.8904,-0.0226,-0.2025,-6.1035,64.5752,-0.7324
0.8672,-0.0166,-0.1281,-6.7749,61.5845,0.6104
0.8854,-0.0533,-0.0767,-7.0190,57.1289,2.3804
0.8955,-0.0697,-0.1013,-2.9907,51.2085,1.2207
0.8926,-0.0511,-0.1144,-0.1831,48.8892,1.9531
0.8771,-0.0937,-0.0483,4.2114,40.7104,4.2114
0.8719,-0.0626,0.0074,6.5308,34.8511,2.7466
0.8722,-0.0413,0.0289,5.3101,29.1138,4.2114
0.8723,-0.0679,0.0242,3.2959,23.4375,2.8687
0.8943,-0.1058,-0.1051,0.1831,19.0430,-2.0752
0.8978,-0.0974,-0.1086,-3.7231,20.9351,-5.7373
0.8971,-0.0833,-0.0585,-9.3994,19.6533,-8.0566
0.8986,-0.0747,-0.0405,-10.3760,16.4795,-8.6670
0.9102,-0.0375,-0.0472,-7.4463,10.4370,-12.3291
0.9100,-0.0054,-0.0376,-5.6152,8.4229,-13.7939
0.9147,0.0238,-0.0121,-2.3193,3.8452,-10.6812
0.9355,0.0509,0.0077,0.6714,-3.2349,-4.6997
0.9490,0.0339,-0.0397,0.9155,-6.9580,0.8545
0.9585,0.0077,-0.1351,0.3662,-6.2256,2.5635
0.9589,-0.0007,-0.1665,-0.2441,-2.6855,2.7466
0.9640,-0.0165,-0.1124,-0.4272,-2.0752,2.1362
0.9708,-0.0254,-0.1244,1.8311,-1.7090,2.6855
0.9741,-0.0291,-0.1190,4.1504,-1.3428,3.9062
0.9745,-0.0328,-0.0931,6.8359,-1.7700,5.5542
0.9601,-0.0610,0.0138,6.1646,-6.7139,3.8452
0.9380,-0.0757,0.0481,5.6763,-12.2070,1.7090
0.9209,-0.0573,0.0917,5.0659,-18.1274,-0.9155
0.9172,-0.0505,0.1420,2.4414,-27.1606,-2.2583
0.8727,-0.0084,0.2754,9.7046,-48.7061,-4.2114
0.8275,0.0092,0.3988,15.9302,-67.6270,-2.2583
0.7933,-0.0372,0.4481,20.9351,-91.4307,-0.2441
0.7040,-0.0902,0.4199,23.8037,-138.8550,-4.3945
0.6497,-0.0729,0.5201,21.0571,-171.0205,-7.0801
0.6083,-0.0519,0.5400,16.3574,-208.0688,-11.8408
0.5397,-0.0496,0.4447,16.0522,-239.1968,-18.8599
0.4651,-0.0265,0.1047,46.6309,-292.9687,-21.0571
0.4506,-0.0430,-0.1614,54.3213,-313.8428,-15.9302
0.4218,-0.1018,-0.5519,74.5239,-323.9746,-14.4043
0.3765,-0.1074,-0.9261,82.6416,-312.1948,-11.4746
0.4015,-0.1049,-0.8763,54.5044,-273.4985,-18.0664
0.3263,-0.1272,-0.7721,42.6636,-276.9775,-15.3809
0.2657,-0.1310,-0.7029,39.3066,-293.3960,-18.3105
0.2130,-0.0392,-0.6227,35.9497,-308.7769,-19.4092
0.0513,0.0303,-0.4438,46.9360,-363.2202,-22.1558
-0.0111,-0.0203,-0.5994,72.6318,-382.0190,-27.8931
-0.1433,-0.0466,-0.8848,101.5625,-374.8779,-19.7144
-0.1292,-0.4105,-1.5298,94.8486,-351.5015,-22.0947
-0.0751,-0.2740,-1.8845,61.0962,-326.2939,-31.6772
-0.0701,-0.0222,-1.9489,19.6533,-282.0435,-13.1836
-0.1450,0.0702,-1.7225,-16.6626,-249.2065,23.7427
-0.2877,-0.1002,-1.1510,-38.8794,-236.6333,60.9131
-0.2487,-0.2080,-1.0114,-35.7666,-232.6660,56.6406
-0.2216,-0.2318,-0.8898,-24.9634,-229.0649,34.9121
-0.3063,-0.1564,-0.7765,-8.3008,-235.1074,15.3198
-0.4631,-0.1218,-0.8453,12.3901,-250.6104,2.3193
-0.5094,-0.0825,-0.9532,12.5122,-262.4512,-2.0142
-0.5536,-0.0455,-1.2139,-2.8687,-269.1650,16.9678
-0.4828,-0.1508,-1.5516,-21.5454,-248.8403,29.3579
-0.5403,-0.1382,-1.3372,-29.1138,-191.8945,59.0820
-0.6360,-0.2000,-1.0322,-28.9917,-185.5469,61.2793
-0.6973,-0.1429,-0.8367,-31.4941,-193.0542,61.9507
-0.7511,-0.1227,-0.6230,-19.1650,-190.0635,52.3682
-0.7134,-0.1271,-0.5321,-14.2822,-202.0874,39.3066
-0.6990,-0.0592,-0.6393,-4.3335,-208.9233,26.1841
-0.7123,0.0377,-0.7649,6.0425,-204.3457,24.0479
-0.8241,0.0823,-0.7930,-2.8687,-204.0405,33.1421
-0.8662,0.0264,-0.9109,-22.6440,-204.4678,38.2080
-0.8973,-0.0374,-0.9984,-38.2080,-196.1670,39.3677
-0.9318,-0.0645,-0.9729,-35.7666,-185.6079,40.2832
-0.9644,-0.1230,-0.8073,-27.0996,-169.5557,38.4521
-0.9933,-0.0907,-0.7147,-23.4375,-163.4521,30.9448
-1.0167,-0.0573,-0.6293,-18.3105,-162.3535,27.7710
-1.0162,-0.0170,-0.6051,-11.0474,-159.5459,20.8740
-1.0432,0.0176,-0.4762,-8.6670,-155.1514,19.4092
-1.0272,0.0002,-0.4598,-10.4980,-156.7993,12.5732
-1.0417,0.0134,-0.4819,-12.7563,-159.0576,7.2021
-1.1193,0.0016,-0.5662,0.4883,-149.5972,-0.9155
-1.1528,0.0144,-0.5717,-3.8452,-142.2729,1.0376
-1.1571,-0.0138,-0.5868,-10.3760,-134.4604,4.8828
-1.1368,-0.0168,-0.5511,-6.8970,-124.4507,3.6621
-1.0924,-0.0582,-0.2085,-3.7842,-117.5537,5.1880
-1.0233,-0.0829,-0.2008,-6.2256,-118.2251,-0.7935
-0.9980,-0.0730,-0.3141,-6.9580,-113.8306,-10.3149
-1.0063,0.0078,-0.4218,-1.1597,-103.1494,-17.1509
-1.0085,0.1383,-0.4745,-5.6763,-79.6509,-12.2681
-1.0311,0.1162,-0.3970,-11.8408,-73.2422,-9.5215
-1.0178,0.0469,-0.2969,-11.7187,-68.9087,-5.1270
-0.9845,-0.0054,-0.2458,-7.3853,-62.1948,-6.8359
-0.9818,0.0067,-0.1552,1.0986,-51.1475,-3.1738
-0.9707,0.0000,-0.1442,4.7607,-47.7295,-5.6763
-0.9662,0.0149,-0.1624,6.4697,-42.6025,-6.9580
-0.9703,0.0322,-0.2047,0.8545,-33.2642,-10.8032
-0.9711,0.0579,-0.2737,-4.4556,-26.4893,-8.9111
-0.9672,0.0688,-0.3018,-7.4463,-16.4795,-5.4932
-0.9749,0.0740,-0.2787,-7.3853,-6.7139,-2.6245
-0.9916,0.0770,-0.0402,-4.4556,3.5400,2.9297
-0.9927,0.0482,0.1444,-3.8452,-0.8545,3.9062
-0.9854,0.0132,0.2534,-1.5259,-11.7187,0.7935
-0.9617,-0.0073,0.2090,1.2817,-19.8364,-1.0376
-0.9340,0.0089,-0.0928,6.8970,-18.7378,-8.3618
-0.9420,0.0620,-0.2207,2.2583,-12.2681,-8.2397
-0.9565,0.1071,-0.3134,-4.0894,-2.1973,-5.8594
-0.9718,0.1250,-0.3125,-7.6904,7.8735,-1.2207
-1.0325,0.0953,-0.0492,-10.0098,19.7144,5.7373
-1.0581,0.0364,0.2358,-3.6621,12.5122,10.4370
-1.0370,-0.0328,0.4160,4.6387,-2.9907,7.0190
-0.9829,0.0027,0.1787,9.8877,-26.0620,-0.4883
-0.9717,0.0190,-0.0477,7.9956,-26.4282,-2.6245
-0.9724,0.0421,-0.2268,2.5024,-20.2026,-2.0752
-0.9866,0.0347,-0.3363,-3.6011,-9.3384,-0.2441
-1.0406,0.0243,-0.3374,-9.8267,17.1509,1.8921
-1.1039,0.0618,-0.2101,-7.0190,26.9775,2.8687
-1.1531,0.0631,0.0074,-5.2490,27.8931,6.7139
-1.1548,0.0131,0.1794,-1.6479,21.5454,4.2725
-1.1384,-0.0272,0.0925,-1.4038,8.4839,-7.4463
-1.1383,-0.0173,-0.1329,-0.7935,10.8032,-12.2681
-1.1412,0.0408,-0.3551,-0.4883,21.7285,-15.5640
-1.1494,0.0946,-0.5360,-6.8359,39.0015,-13.3057
